job_id,job_title,job_title_short,name,job_location,job_schedule_type,salary_year_avg,job_posted_date
226942,Data Analyst,Data Analyst,Mantys,Anywhere,Full-time,650000,20/02/2023 15:13
547382,Director of Analytics,Data Analyst,Meta,Anywhere,Full-time,336500,23/08/2023 12:04
552322,Associate Director- Data Insights,Data Analyst,AT&T,Anywhere,Full-time,255829.5,18/06/2023 16:03
99305,"Data Analyst, Marketing",Data Analyst,Pinterest Job Advertisements,Anywhere,Full-time,232423,05/12/2023 20:00
1021647,Data Analyst (Hybrid/Remote),Data Analyst,Uclahealthcareers,Anywhere,Full-time,217000,17/01/2023 00:17
168310,Principal Data Analyst (Remote),Data Analyst,SmartAsset,Anywhere,Full-time,205000,09/08/2023 11:00
731368,"Director, Data Analyst - HYBRID",Data Analyst,Inclusively,Anywhere,Full-time,189309,07/12/2023 15:00
310660,"Principal Data Analyst, AV Performance Analysis",Data Analyst,Motional,Anywhere,Full-time,189000,05/01/2023 00:00
1749593,Principal Data Analyst,Data Analyst,SmartAsset,Anywhere,Full-time,186000,11/07/2023 16:00
387860,ERM Data Analyst,Data Analyst,Get It Recruit - Information Technology,Anywhere,Full-time,184000,09/06/2023 08:01
