job_id,job_title,job_location,name,salary_year_avg,job_posted_date,skills,,Skills,Amount
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,sql,,sql,8
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,python,,python,7
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,r,,tableau,6
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,azure,,r,4
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,databricks,,pandas,3
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,aws,,excel,3
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,pandas,,snowflake,3
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,pyspark,,azure,2
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,jupyter,,aws,2
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,excel,,power bi,2
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,tableau,,oracle,2
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,power bi,,go,2
552322,Associate Director- Data Insights,Anywhere,AT&T,255829.5,18/06/2023 16:03,powerpoint,,numpy,2
99305,"Data Analyst, Marketing",Anywhere,Pinterest Job Advertisements,232423,05/12/2023 20:00,sql,,gitlab,2
99305,"Data Analyst, Marketing",Anywhere,Pinterest Job Advertisements,232423,05/12/2023 20:00,python,,bitbucket,2
99305,"Data Analyst, Marketing",Anywhere,Pinterest Job Advertisements,232423,05/12/2023 20:00,r,,atlassian,2
99305,"Data Analyst, Marketing",Anywhere,Pinterest Job Advertisements,232423,05/12/2023 20:00,hadoop,,jira,2
99305,"Data Analyst, Marketing",Anywhere,Pinterest Job Advertisements,232423,05/12/2023 20:00,tableau,,confluence,2
1021647,Data Analyst (Hybrid/Remote),Anywhere,Uclahealthcareers,217000,17/01/2023 00:17,sql,,databricks,1
1021647,Data Analyst (Hybrid/Remote),Anywhere,Uclahealthcareers,217000,17/01/2023 00:17,crystal,,pyspark,1
1021647,Data Analyst (Hybrid/Remote),Anywhere,Uclahealthcareers,217000,17/01/2023 00:17,oracle,,jupyter,1
1021647,Data Analyst (Hybrid/Remote),Anywhere,Uclahealthcareers,217000,17/01/2023 00:17,tableau,,powerpoint,1
1021647,Data Analyst (Hybrid/Remote),Anywhere,Uclahealthcareers,217000,17/01/2023 00:17,flow,,hadoop,1
168310,Principal Data Analyst (Remote),Anywhere,SmartAsset,205000,09/08/2023 11:00,sql,,crystal,1
168310,Principal Data Analyst (Remote),Anywhere,SmartAsset,205000,09/08/2023 11:00,python,,flow,1
168310,Principal Data Analyst (Remote),Anywhere,SmartAsset,205000,09/08/2023 11:00,go,,sap,1
168310,Principal Data Analyst (Remote),Anywhere,SmartAsset,205000,09/08/2023 11:00,snowflake,,jenkins,1
168310,Principal Data Analyst (Remote),Anywhere,SmartAsset,205000,09/08/2023 11:00,pandas,,git,1
168310,Principal Data Analyst (Remote),Anywhere,SmartAsset,205000,09/08/2023 11:00,numpy,,,
168310,Principal Data Analyst (Remote),Anywhere,SmartAsset,205000,09/08/2023 11:00,excel,,,
168310,Principal Data Analyst (Remote),Anywhere,SmartAsset,205000,09/08/2023 11:00,tableau,,,
168310,Principal Data Analyst (Remote),Anywhere,SmartAsset,205000,09/08/2023 11:00,gitlab,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,sql,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,python,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,azure,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,aws,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,oracle,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,snowflake,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,tableau,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,power bi,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,sap,,,
731368,"Director, Data Analyst - HYBRID",Anywhere,Inclusively,189309,07/12/2023 15:00,jenkins,,,
